Keyword,Country code,Location,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Branded,Local,Navigational,Informational,Commercial,Transactional
johor school holiday 2024,MY,Malaysia,,100,4,,2,0,12,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-21 05:12:34,false,true,false,true,false,false
international school in johor bahru,SG,Singapore,"Local pack, Thumbnail, People also ask, Video preview",30,37,,2,0,9,https://www.idrissischool.edu.my/johorbahru/,,2025-03-05 16:12:29,false,true,false,true,true,false
malaysia school holiday 2024 johor bahru,SG,Singapore,People also ask,40,1,,1,0,8,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-06 09:08:33,false,true,false,true,false,false
international school jb,MY,Malaysia,"Local pack, Thumbnail, Sitelinks",80,31,,1,0,13,https://www.idrissischool.edu.my/johorbahru/,,2025-03-22 05:00:58,false,true,false,true,true,false
johor school holiday,MY,Malaysia,,90,1,,1,0,13,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-21 04:23:09,false,true,false,true,false,false
jb international school,MY,Malaysia,"Local pack, Thumbnail, Sitelinks, Video preview",150,27,,1,0,16,https://www.idrissischool.edu.my/johorbahru/,,2025-03-13 12:12:57,true,false,false,true,false,false
malaysia school holiday 2024 johor bahru,MY,Malaysia,People also ask,30,0,,1,0,8,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-05 06:59:29,false,true,false,true,false,false
international school in jb,MY,Malaysia,"Local pack, Thumbnail, Video preview, Bottom ads, Paid sitelinks",50,0,,1,0,12,https://www.idrissischool.edu.my/johorbahru/,,2025-02-25 01:19:47,false,true,false,true,true,false
sekolah rendah setia alam,MY,Malaysia,"Thumbnail, Video preview, Knowledge panel",30,0,,1,0,8,https://www.idrissischool.edu.my/,,2025-03-01 00:45:20,false,true,false,true,false,false
johor international school,SG,Singapore,"Local pack, Thumbnail, People also ask, Video preview",80,36,,1,0,14,https://www.idrissischool.edu.my/johorbahru/,,2025-03-16 17:33:26,false,true,false,true,true,false
calendar 2024 johor,MY,Malaysia,Thumbnail,30,0,,1,0,9,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-02-25 20:07:04,false,true,false,true,false,false
international schools in johor bahru,MY,Malaysia,"Local pack, Thumbnail, Video preview",40,18,,1,0,12,https://www.idrissischool.edu.my/johorbahru/,,2025-03-18 14:42:54,false,true,false,true,true,false
international schools in johor bahru,SG,Singapore,"Top ads, Paid sitelinks, Local pack, Thumbnail, Video preview, Bottom ads",30,31,0.29,1,0,11,https://www.idrissischool.edu.my/johorbahru/,,2025-02-27 00:25:44,false,true,false,true,true,false
johor international school fees,MY,Malaysia,People also ask,10,0,,1,0,7,https://www.idrissischool.edu.my/johorbahru/school-fees/,,2025-03-15 03:53:31,true,true,false,true,true,false
link international school fees,MY,Malaysia,People also ask,40,0,,1,0,13,https://www.idrissischool.edu.my/johorbahru/school-fees/,,2025-03-16 07:03:31,true,false,false,true,true,false
game family day,MY,Malaysia,Thumbnail,350,0,0.18,1,0,20,https://www.idrissischool.edu.my/setiaalam/2023/10/24/familyday2023/,,2025-03-22 13:18:47,false,false,false,true,false,false
top 10 international school in johor bahru,MY,Malaysia,"Local pack, People also ask",100,1,,1,0,18,https://www.idrissischool.edu.my/johorbahru/,,2025-02-25 00:05:30,false,true,false,true,true,false
international school in shah alam,MY,Malaysia,"Local pack, Thumbnail, Sitelinks, Video preview",100,13,,1,0,18,https://www.idrissischool.edu.my/,,2025-03-15 13:36:46,false,true,false,true,true,false
link international school,MY,Malaysia,"Top ads, Video preview",800,0,,1,0,26,https://www.idrissischool.edu.my/johorbahru/,,2025-03-19 06:10:43,true,false,true,true,false,false
johor school,MY,Malaysia,"Local pack, People also ask, Thumbnail",40,31,,0,0,16,https://www.idrissischool.edu.my/johorbahru/,,2025-02-28 20:40:38,false,true,false,true,false,false
islamic international school near me,MY,Malaysia,"Local pack, Sitelinks",20,20,,0,0,12,https://www.idrissischool.edu.my/,,2025-03-20 20:12:42,false,true,false,true,false,false
top 10 secondary school in johor bahru,MY,Malaysia,"Local teaser, Video preview",20,0,,0,0,12,https://www.idrissischool.edu.my/johorbahru/secondary-school/,,2025-03-18 10:08:05,false,true,false,true,false,false
sekolah swasta shah alam,MY,Malaysia,"Local pack, Thumbnail, Video preview",20,0,,0,0,12,https://www.idrissischool.edu.my/,,2025-03-06 01:56:05,false,true,false,true,true,false
مدرسة,MY,Malaysia,,40,57,,0,0,16,https://www.idrissischool.edu.my/,,2025-03-20 21:22:30,false,false,false,true,false,false
jb school holiday 2023,SG,Singapore,People also ask,10,1,,0,0,10,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2023/10/JB-Academic-Calendar-2023-2024.pdf,,2025-03-04 06:47:14,false,false,false,true,false,false
international school uniform,MY,Malaysia,"Thumbnail, Video preview",200,0,,0,0,23,https://www.idrissischool.edu.my/setiaalam/product-tag/uniform-shirt-girl/,,2025-02-25 07:28:22,false,false,false,true,false,false
idrissi,TR,Turkey,"Thumbnail, Knowledge panel, Video preview",10,5,0.38,0,0,10,https://www.idrissischool.edu.my/,,2025-02-25 23:23:18,false,false,false,true,false,false
private school johor bahru,MY,Malaysia,"Local pack, Thumbnail, Video preview",150,20,,0,0,23,https://www.idrissischool.edu.my/johorbahru/,,2025-03-05 14:54:27,false,true,false,true,true,false
time table 8,MY,Malaysia,"Thumbnail, People also ask, Video preview",150,21,0.03,0,0,23,https://www.idrissischool.edu.my/wp-content/uploads/2021/09/Model-B-Sample-Physical-Class-Online-Schooling-Primary-Timetables.pdf,,2025-03-19 18:40:28,false,false,false,true,false,false
international schools in johor,MY,Malaysia,"Top ads, Paid sitelinks, Local pack, Thumbnail, Video preview, Bottom ads",20,39,0.30,0,0,14,https://www.idrissischool.edu.my/johorbahru/,,2025-03-14 02:05:28,false,true,false,true,true,false
school holiday 2024/2025,MY,Malaysia,,70,2,,0,0,20,https://www.idrissischool.edu.my/setiaalam/wp-content/uploads/2024/08/SA-Academic-Calendar.pdf.pdf,,2025-02-25 20:42:18,false,false,false,true,false,false
dasmesh international school,MY,Malaysia,"Sitelinks, People also ask, Video preview",80,0,,0,0,21,https://www.idrissischool.edu.my/,,2025-03-04 03:58:54,true,false,true,true,false,false
international school johor bahru,US,United States,"Local pack, Thumbnail, Video preview",10,13,,0,0,10,https://www.idrissischool.edu.my/johorbahru/,,2025-02-27 21:28:13,false,true,false,true,true,false
cambridge setia alam,MY,Malaysia,"Thumbnail, Video preview",50,0,,0,0,19,https://www.idrissischool.edu.my/setiaalam/the-examinations/,,2025-03-04 03:16:10,true,true,false,true,true,false
school hostel,MY,Malaysia,"Local teaser, People also ask, Thumbnail, Video preview, Knowledge panel",50,0,,0,0,20,https://www.idrissischool.edu.my/johorbahru/boarding-2/,,2025-03-16 16:16:01,false,false,false,true,false,false
islamic school near me,MY,Malaysia,"Local pack, Thumbnail",20,14,,0,0,17,https://www.idrissischool.edu.my/,,2025-03-02 16:58:17,false,true,false,false,false,false
idrissi,ID,Indonesia,"Thumbnail, Top stories, Knowledge panel",30,4,,0,0,17,https://www.idrissischool.edu.my/,,2025-03-20 17:44:42,false,false,false,true,false,false
educity village,MY,Malaysia,People also ask,100,1,,0,0,24,https://www.idrissischool.edu.my/johorbahru/campus-facilities/,,2025-03-21 20:27:38,false,true,true,true,false,false
school brochure,MY,Malaysia,"People also ask, Thumbnail",20,6,,0,0,16,https://www.idrissischool.edu.my/setiaalam/school-brochure/,,2025-03-21 00:37:05,false,false,false,true,true,false
school holiday 2023/2024,MY,Malaysia,,30,3,,0,0,18,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2023/10/JB-Academic-Calendar-2023-2024.pdf,,2025-03-13 18:54:56,false,false,false,true,false,false
school holiday 2023 johor bahru,MY,Malaysia,,30,2,,0,0,19,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2023/10/JB-Academic-Calendar-2023-2024.pdf,,2025-03-02 18:44:57,false,true,false,true,false,false
malaysia day colouring,MY,Malaysia,"Thumbnail, Video preview",20,0,,0,0,18,https://www.idrissischool.edu.my/2021/08/10/colouring-competition/,,2025-02-27 10:12:52,false,false,false,true,false,false
be international johor,MY,Malaysia,"Sitelinks, Thumbnail, Knowledge panel",150,1,0.19,0,0,27,https://www.idrissischool.edu.my/johorbahru/,,2025-03-21 09:26:04,true,true,true,true,true,false
2024 and 2025 school calendar,MY,Malaysia,Thumbnail,200,7,,0,0,29,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-16 17:53:20,false,false,false,true,false,false
school holiday 2023 johor bahru,SG,Singapore,,0,1,,0,0,6,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2023/10/JB-Academic-Calendar-2023-2024.pdf,,2025-03-13 09:48:18,false,true,false,true,false,false
international islamic school malaysia,MY,Malaysia,"Sitelinks, Video preview, People also ask",400,0,,0,0,25,https://www.idrissischool.edu.my/,,2025-03-01 16:14:20,true,false,true,true,false,false
private school in johor bahru,MY,Malaysia,"Local pack, Thumbnail, People also ask, Video preview",50,28,,0,0,25,https://www.idrissischool.edu.my/johorbahru/,,2025-03-16 01:26:50,false,true,false,true,true,false
idrissi,GB,United Kingdom,"Thumbnail, People also ask, Knowledge panel",40,1,,0,0,19,https://www.idrissischool.edu.my/,,2025-03-20 12:55:27,false,false,false,true,false,false
international islamic school,MY,Malaysia,"Local pack, Thumbnail, Video preview",40,3,,0,0,23,https://www.idrissischool.edu.my/,,2025-03-16 08:59:48,true,false,true,true,false,false
international islamic school malaysia fees,MY,Malaysia,"Featured snippet, People also ask, Video preview",70,0,,0,0,26,https://www.idrissischool.edu.my/setiaalam/school-fees/,,2025-03-02 00:59:33,true,false,false,true,true,false
mindrich international secondary school,MY,Malaysia,"Sitelinks, Knowledge panel",150,0,,0,0,30,https://www.idrissischool.edu.my/setiaalam/secondary-school/,,2025-03-15 04:10:22,true,false,true,true,false,false
seven skies international school fees,MY,Malaysia,"People also ask, Video preview",150,0,,0,0,30,https://www.idrissischool.edu.my/setiaalam/school-fees/,,2025-03-18 00:24:37,true,false,false,true,true,false
idrissi,IT,Italy,"People also ask, Video preview",600,1,,0,0,37,https://www.idrissischool.edu.my/,,2025-03-14 06:47:50,false,false,false,true,false,false
setia budi international school,MY,Malaysia,"Sitelinks, Thumbnail, People also ask",60,0,,0,0,27,https://www.idrissischool.edu.my/,,2025-03-21 16:30:30,true,true,true,true,false,false
amazing friday,US,United States,"Knowledge panel, Video preview",20,1,,0,0,22,https://www.idrissischool.edu.my/setiaalam/amazing-friday/,,2025-03-15 23:10:35,false,false,false,true,true,false
educity hub,MY,Malaysia,People also ask,100,0,,0,0,30,https://www.idrissischool.edu.my/johorbahru/campus-facilities/,,2025-03-22 19:33:17,false,true,true,true,false,false
kelantan international school photos,MY,Malaysia,"Thumbnail, Video preview",60,0,,0,0,28,https://www.idrissischool.edu.my/,,2025-02-28 16:59:05,true,true,false,true,false,false
arrows international secondary school photos,MY,Malaysia,"Sitelinks, Thumbnail, People also ask, Video preview",100,0,,0,0,31,https://www.idrissischool.edu.my/,,2025-02-25 00:01:21,true,false,false,true,false,false
school year end,MY,Malaysia,People also ask,0,0,,0,0,14,https://www.idrissischool.edu.my/setiaalam/wp-content/uploads/2024/08/SA-Academic-Calendar.pdf.pdf,,2025-03-17 12:10:30,false,false,false,true,false,false
real international school shah alam,MY,Malaysia,Local pack,150,2,,0,0,31,https://www.idrissischool.edu.my/,,2025-03-22 04:46:12,true,true,true,true,false,false
schools online,MY,Malaysia,Knowledge panel,10,36,0.53,0,0,22,https://www.idrissischool.edu.my/2021/09/07/full-online-schooling/,,2025-03-13 15:25:04,false,false,false,true,false,false
setia alam preschool,MY,Malaysia,"Local pack, Thumbnail, Video preview",30,0,0.17,0,0,28,https://www.idrissischool.edu.my/setiaalam/nature-based-preschool/,,2025-03-01 22:23:18,false,true,false,true,true,false
mindrich international school,MY,Malaysia,Sitelinks,80,0,,0,0,31,https://www.idrissischool.edu.my/,,2025-02-28 18:36:30,true,false,true,true,false,false
setiabudi school fees,MY,Malaysia,Thumbnail,40,0,,0,0,28,https://www.idrissischool.edu.my/setiaalam/school-fees/,,2025-03-05 13:17:46,true,true,false,true,false,false
trial class,MY,Malaysia,"People also ask, Video preview",200,0,,0,0,31,https://www.idrissischool.edu.my/setiaalam/year-1-free-trial-class/,,2025-03-18 01:16:55,false,false,false,true,true,false
setia budi islamic international school,MY,Malaysia,"Sitelinks, Thumbnail, People also ask",40,0,,0,0,28,https://www.idrissischool.edu.my/,,2025-03-22 05:01:39,true,false,true,true,false,false
sekolah international,MY,Malaysia,"Local pack, Knowledge panel, Thumbnail, Sitelinks",150,64,,0,0,37,https://www.idrissischool.edu.my/,,2025-03-19 11:18:04,false,false,false,true,true,false
kalendar 2024 johor,MY,Malaysia,Thumbnail,30,1,,0,0,28,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-15 14:21:47,false,true,false,true,false,false
best school in johor bahru,MY,Malaysia,"Local pack, People also ask, Thumbnail, Discussions and forums",30,3,,0,0,30,https://www.idrissischool.edu.my/johorbahru/,,2025-03-19 10:41:21,false,true,false,true,true,false
idrissi,DE,Germany,"Thumbnail, Knowledge panel, People also ask",100,0,,0,0,33,https://www.idrissischool.edu.my/,,2025-03-22 14:52:04,false,false,false,true,false,false
selangor school holiday 2024,MY,Malaysia,Video preview,30,1,,0,0,29,https://www.idrissischool.edu.my/setiaalam/wp-content/uploads/2024/08/SA-Academic-Calendar.pdf.pdf,,2025-03-02 21:08:49,false,true,false,true,false,false
international school ipoh,MY,Malaysia,"Local pack, Thumbnail, Video preview",350,10,,0,0,43,https://www.idrissischool.edu.my/,,2025-03-05 19:26:11,false,true,false,true,true,false
email school holiday,MY,Malaysia,,80,0,,0,0,34,https://www.idrissischool.edu.my/2020/09/23/how-to-enjoy-your-last-bits-of-school-holiday/,,2025-03-04 08:38:10,false,false,false,true,false,false
kalender 2024 johor,MY,Malaysia,,30,1,,0,0,29,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-16 16:48:39,false,true,false,true,false,false
real private school,MY,Malaysia,"Local pack, People also ask",40,1,,0,0,32,https://www.idrissischool.edu.my/,,2025-03-22 11:50:10,false,false,false,true,true,false
school open day,MY,Malaysia,"Thumbnail, People also ask, Video preview, Knowledge panel",30,1,,0,0,25,https://www.idrissischool.edu.my/setiaalam/open-day/,,2025-03-01 12:27:18,false,false,false,true,false,false
real school shah alam,MY,Malaysia,"Sitelinks, Local pack, Video preview",90,0,,0,0,35,https://www.idrissischool.edu.my/,,2025-03-13 08:31:25,true,true,false,true,false,false
integrated islamic school kota damansara,MY,Malaysia,"Thumbnail, Video preview, People also ask",150,0,,0,0,36,https://www.idrissischool.edu.my/,,2025-02-27 04:44:36,true,true,true,true,false,false
colouring competition,MY,Malaysia,"People also ask, Thumbnail, Sitelinks",60,0,,0,0,29,https://www.idrissischool.edu.my/2021/08/10/colouring-competition/,,2025-03-22 10:25:13,false,false,false,true,false,false
imperial international school ipoh,MY,Malaysia,"Sitelinks, People also ask, Video preview",200,0,,0,0,40,https://www.idrissischool.edu.my/,,2025-02-27 18:37:40,true,true,true,true,false,false
preschool setia alam,MY,Malaysia,"Local pack, Thumbnail, Video preview",50,0,,0,0,35,https://www.idrissischool.edu.my/setiaalam/nature-based-preschool/,,2025-03-17 01:03:36,false,true,false,true,true,false
islamic international school,MY,Malaysia,"Local pack, Thumbnail, Video preview",20,26,,0,0,27,https://www.idrissischool.edu.my/,,2025-03-06 03:40:19,false,false,false,true,false,false
idrissi,BE,Belgium,"Thumbnail, People also ask, Knowledge panel, Video preview",60,0,,0,0,33,https://www.idrissischool.edu.my/,,2025-03-18 11:02:53,false,false,false,true,false,false
real international school fees,MY,Malaysia,People also ask,50,0,,0,0,35,https://www.idrissischool.edu.my/setiaalam/school-fees/,,2025-03-06 11:38:29,false,false,false,true,true,false
real school malaysia,MY,Malaysia,"Sitelinks, Local pack, People also ask, Video preview",30,2,,0,0,33,https://www.idrissischool.edu.my/,,2025-03-18 11:08:35,true,false,false,true,true,false
school holiday august,MY,Malaysia,,10,1,,0,0,29,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-02-26 23:29:43,false,false,false,true,false,false
public holiday 2024 johor bahru,MY,Malaysia,"Sitelinks, Knowledge panel, Video preview",10,0,,0,0,29,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-02-28 08:14:05,false,true,false,true,false,false
school holidays 2024 selangor,MY,Malaysia,Thumbnail,20,0,,0,0,32,https://www.idrissischool.edu.my/setiaalam/wp-content/uploads/2024/08/SA-Academic-Calendar.pdf.pdf,,2025-03-07 14:50:37,false,true,false,true,false,false
malaysia school holiday 2024/2025,SG,Singapore,People also ask,30,1,,0,0,34,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-09 07:50:17,false,false,false,true,false,false
mcdonald’s educity iskandar puteri,MY,Malaysia,"Thumbnail, Video preview",20,0,,0,0,33,https://www.idrissischool.edu.my/johorbahru/school-tour/,,2025-02-24 23:28:34,true,true,true,false,true,false
edquest international school,MY,Malaysia,"Sitelinks, Video preview, People also ask",100,0,,0,0,42,https://www.idrissischool.edu.my/,,2025-02-28 19:26:15,true,false,true,true,false,false
idrissi,GR,Greece,"Thumbnail, Knowledge panel, Videos",10,2,0.61,0,0,28,https://www.idrissischool.edu.my/,,2025-03-22 15:39:20,false,false,false,true,false,false
malaysia school holiday 2024/2025,MY,Malaysia,"AI overview, People also ask",3000,1,,0,0,58,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-23 01:59:03,false,false,false,true,false,false
ideas international school,MY,Malaysia,Local pack,70,0,,0,0,41,https://www.idrissischool.edu.my/,,2025-03-21 18:56:48,true,false,true,true,false,false
school holiday 2024/2025 malaysia,MY,Malaysia,People also ask,80,1,,0,0,42,https://www.idrissischool.edu.my/setiaalam/wp-content/uploads/2024/08/SA-Academic-Calendar.pdf.pdf,,2025-03-23 09:35:36,false,false,false,true,false,false
private school in selangor,US,United States,"Local pack, Thumbnail, People also ask",30,17,,0,0,38,https://www.idrissischool.edu.my/,,2025-02-26 14:24:15,false,true,false,true,true,false
real school johor,MY,Malaysia,"Sitelinks, Video preview, People also ask",40,2,,0,0,40,https://www.idrissischool.edu.my/johorbahru/,,2025-03-06 10:05:14,true,true,false,true,true,false
jb international school,US,United States,"Local pack, Thumbnail, People also ask, Video preview",10,0,,0,0,36,https://www.idrissischool.edu.my/johorbahru/,,2025-03-13 18:00:51,true,false,true,true,false,false
ardence international school,MY,Malaysia,"Sitelinks, Video preview",10,0,,0,0,37,https://www.idrissischool.edu.my/,,2025-02-27 15:03:50,true,false,true,true,false,false
imas international school,MY,Malaysia,"Sitelinks, Thumbnail, Local pack, Knowledge panel, People also ask, Video preview",100,1,,0,0,48,https://www.idrissischool.edu.my/,,2025-02-24 04:43:09,true,false,true,true,false,false
malaysia school holiday 2024/2025 pdf,MY,Malaysia,"Sitelinks, People also ask",40,2,,0,0,43,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-22 06:28:38,false,false,false,true,false,false
principal school,MY,Malaysia,"People also ask, Video preview",150,6,,0,0,49,https://www.idrissischool.edu.my/setiaalam/principals-message/,,2025-03-03 06:58:07,false,false,false,true,false,false
family day game,MY,Malaysia,"Thumbnail, Video preview",70,0,0.18,0,0,46,https://www.idrissischool.edu.my/setiaalam/2023/10/24/familyday2023/,,2025-02-27 20:25:32,false,false,false,true,false,false
2024/2025 malaysia school holiday,MY,Malaysia,,150,2,,0,0,49,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-02 07:57:44,false,true,false,true,false,false
yuran international school,MY,Malaysia,"People also ask, Video preview",80,3,,0,0,47,https://www.idrissischool.edu.my/setiaalam/school-fees/,,2025-03-01 20:57:14,true,false,false,true,true,false
mdis educity,MY,Malaysia,"Sitelinks, People also ask, Video preview, Knowledge panel",60,2,,0,0,46,https://www.idrissischool.edu.my/johorbahru/campus-facilities/,,2025-03-03 11:22:10,true,true,true,true,false,false
dashmesh international school,MY,Malaysia,"Sitelinks, People also ask, Video preview",10,0,,0,0,39,https://www.idrissischool.edu.my/,,2025-03-18 09:33:55,true,false,true,true,false,false
cambridge international school malaysia,MY,Malaysia,"People also ask, Knowledge panel, Thumbnail, Video preview",60,0,,0,0,46,https://www.idrissischool.edu.my/setiaalam/the-examinations/,,2025-02-24 15:30:03,true,false,false,true,false,false
private school in johor bahru,US,United States,"Local pack, Thumbnail, Video preview",0,46,,0,0,34,https://www.idrissischool.edu.my/johorbahru/,,2025-03-19 10:15:12,false,true,false,true,true,false
international arabic school,MY,Malaysia,"People also ask, Knowledge panel",30,0,,0,0,44,https://www.idrissischool.edu.my/,,2025-03-21 13:21:46,true,false,true,true,false,false
international school puchong,MY,Malaysia,"Local pack, Thumbnail, Video preview",70,17,,0,0,49,https://www.idrissischool.edu.my/,,2025-03-19 06:38:04,false,true,false,true,true,false
private school ipoh,MY,Malaysia,"Local pack, Thumbnail, People also ask, Video preview",100,26,,0,0,51,https://www.idrissischool.edu.my/,,2025-02-24 15:12:29,false,true,false,true,true,false
